package_id,block_type,congress,bill_type,bill_num,action_date,n_words,text_sha,score,score_max,n_chunks,scored_words,top_bucket,month,post,pre,dup_group,is_first_appearance,recycled_from_pre,origin_chamber,introduced_date,policy_area,sponsor_bioguide,sponsor_party,sponsor_state,public_law_number,n_cosponsors,n_cosponsors_opposite,n_cosponsors_orig,n_cosponsors_opposite_orig,bipartisan_share,bipartisan_share_orig,is_bipartisan,is_bipartisan_orig,reported_all,passed_house_all,passed_senate_all,presented_all,became_law_all,max_stage_all,reported_12m,passed_house_12m,passed_senate_12m,presented_12m,became_law_12m,max_stage_12m,chamber_majority,sponsor_in_majority,max_stage_possible,stage_frac_all,succeeded_all,stage_frac_12m,succeeded_12m,n_actions,window_complete,commem,bioguide,freshman,birth_year,member_age,gender,n_terms,born_after_1980,topic_international_affairs,topic_health,topic_armed_forces_and_national_secu,topic_crime_and_law_enforcement,topic_government_operations_and_poli,topic_education,"topic_civil_rights_and_liberties,_mi",topic_public_lands_and_natural_resou,"topic_science,_technology,_communica",topic_immigration,topic_environmental_protection,topic_congress,topic_finance_and_financial_sector,topic_labor_and_employment,topic_transportation_and_public_work,sen_pct,is_house,office_capacity,high_capacity,senior_majority,is_freshman,is_republican,is_resolution,ln_words,ln_cosponsors,is_119,is_likely_ai
BILLS-118hres1155ih,preamble,118,hres,1155,2024-04-17,1138,ad6397afd0fb214db7df6906fe112e66,0.1315470657065706,0.20239,4,1111,1,2024-04,True,False,c192161c518cee0377929230,True,False,House,2024-04-17,"Arts, Culture, Religion",T000481,D,MI,,7,0,6,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,4,True,True,T000481,False,1976.0,50.0,F,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722397476340694,1.0,0.14889589905362777,0.0,0.0,0.0,0.0,1.0,7.037027614686276,2.0794415416798357,0.0,0.0
BILLS-118hres1156ih,preamble,118,hres,1156,2024-04-17,192,24aabf7249e8a3febbf926ced7431aa2,0.16369,0.16369,1,190,0,2024-04,True,False,b377966ffa8b7c9b84e9a87e,True,False,House,2024-04-17,International Affairs,T000482,D,MA,,2,1,2,1,0.5,0.5,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,4,True,True,T000482,False,1973.0,53.0,F,4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3722397476340694,1.0,0.14889589905362777,0.0,0.0,0.0,0.0,1.0,5.2574953720277815,1.0986122886681098,0.0,0.0
BILLS-118hres1158ih,preamble,118,hres,1158,2024-04-18,272,d77ea79be82683cb7e3806e3038ef449,0.23052,0.23052,1,270,1,2024-04,True,False,34149e0afa38e9cb3acdc69e,True,False,House,2024-04-18,Armed Forces and National Security,E000235,R,MS,,17,11,14,9,0.6470588235294118,0.6428571428571429,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,4,True,True,E000235,True,1959.0,67.0,M,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.33641279855790895,0.0,0.09103199639477241,1.0,1.0,1.0,5.605802066295998,2.8903717578961645,0.0,0.0
BILLS-118hres1159ih,preamble,118,hres,1159,2024-04-18,216,dd8d02f05f4a87b0c333fd30a62dd1f2,0.2056,0.2056,1,210,0,2024-04,True,False,322295841f961877e3414283,True,False,House,2024-04-18,"Science, Technology, Communications",S001225,D,IL,,7,2,1,1,0.2857142857142857,1.0,1.0,True,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,8,True,True,S001225,True,1976.0,50.0,M,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.036412798557908965,0.0,0.0,1.0,0.0,1.0,5.375278407684165,2.0794415416798357,0.0,0.0
BILLS-118hres1161ih,preamble,118,hres,1161,2024-04-19,215,967a9fd775ee2776a004a28c3a0c8c3a,0.18788,0.18788,1,213,0,2024-04,True,False,5f2e3e678ddcf8fa64347b23,True,False,House,2024-04-19,International Affairs,G000553,D,TX,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,4,True,True,G000553,False,1947.0,79.0,M,11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8280757097791798,1.0,0.3312302839116719,0.0,0.0,0.0,0.0,1.0,5.3706380281276624,0.0,0.0,0.0
BILLS-118hres1163ih,preamble,118,hres,1163,2024-04-19,255,481bb923f181519e3c567cf8024403eb,0.07966,0.07966,1,246,0,2024-04,True,False,54b57360cfa2dd6064938c64,True,False,House,2024-04-19,"Arts, Culture, Religion",N000002,D,NY,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,4,True,True,N000002,False,1947.0,79.0,M,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9725101397025687,1.0,0.3890040558810275,0.0,0.0,0.0,0.0,1.0,5.541263545158426,0.0,0.0,0.0
BILLS-118hres1164ih,preamble,118,hres,1164,2024-04-20,461,ade1a643c1a4e7fa7c886f1833203c8e,0.2987097065462754,0.3418,2,443,1,2024-04,True,False,452259dedd4f56629ee1c3fa,True,False,House,2024-04-20,Environmental Protection,K000400,D,CA,,6,0,3,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,6,True,False,K000400,True,1972.0,54.0,F,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.036412798557908965,0.0,0.0,1.0,0.0,1.0,6.133398042996649,1.9459101490553132,0.0,0.0
BILLS-118hres1165ih,preamble,118,hres,1165,2024-04-20,176,524f2e5e91751f80c0981703a1dd933f,0.22376,0.22376,1,168,0,2024-04,True,False,de0ce134db444e38db62f4df,True,False,House,2024-04-20,Health,L000598,R,NY,,0,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,6,True,True,L000598,True,1978.0,48.0,M,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09103199639477241,1.0,0.33641279855790895,0.0,0.09103199639477241,1.0,1.0,1.0,5.170483995038151,0.0,0.0,0.0
BILLS-118hres1166ih,preamble,118,hres,1166,2024-04-20,791,83fe34ced3eebad3bd60cd4f4cb457c9,0.1554829936305732,0.25864,3,785,0,2024-04,True,False,32f8efd32a41a87324ed74f4,True,False,House,2024-04-20,Environmental Protection,M001163,D,CA,,57,0,53,0,0.0,0.0,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,0.0,2,0.0,False,0.0,False,8,True,True,M001163,False,1944.0,82.0,F,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8280757097791798,1.0,0.3312302839116719,0.0,0.0,0.0,0.0,1.0,6.673297967767654,4.060443010546419,0.0,0.0
BILLS-118hres1167ih,preamble,118,hres,1167,2024-04-23,589,d7bf28ab15a0a6e0b6deb336f965f086,0.1503960105448154,0.17107,2,569,0,2024-04,True,False,314104496c2fa348d9c3013a,True,False,House,2024-04-23,Energy,B001306,R,OH,,1,0,0,0,0.0,,0.0,False,False,False,False,False,False,0,False,False,False,False,False,0,R,1.0,2,0.0,False,0.0,False,8,True,True,B001306,False,1962.0,64.0,M,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4864803965750338,1.0,0.4945921586300135,0.0,0.4864803965750338,0.0,1.0,1.0,6.3784261836515865,0.6931471805599453,0.0,0.0
